District,Growth,Sex_Ratio,Literacy,Population
Bareilly,0.23,887,58.49,4448359
Gorakhpur,0.18,950,70.83,4440895
Agra,0.22,868,71.58,4418797
Muzaffarnagar,0.17,889,69.12,4143512
Hardoi,0.2,868,64.57,4092845
Kheri,0.25,894,60.56,4021243
Sultanpur,0.18,983,69.27,3797117
Bijnor,0.18,917,68.48,3682713
Budaun,0.2,871,51.29,3681896
Varanasi,0.17,913,75.6,3676841
Aligarh,0.23,882,67.52,3673889
Ghazipur,0.19,952,71.78,3620268
Kushinagar,0.23,961,65.25,3564544
Bulandshahar,0.2,896,68.88,3499171
Bahraich,0.46,892,49.36,3487731
Saharanpur,0.2,890,70.49,3466382
Meerut,0.15,886,72.84,3443689
Gonda,0.24,921,58.71,3433919
Rae Bareli,0.19,943,67.25,3405559
Barabanki,0.22,910,61.75,3260699
Ballia,0.17,937,70.94,3239774
Pratapgarh,0.18,998,70.09,867848
Unnao,0.15,907,66.37,3108367
Deoria,0.14,1017,71.13,3100946
Shahjahanpur,0.18,872,59.54,3006538
Maharajganj,0.24,943,62.76,2684703
Fatehpur,0.14,901,67.43,2632733
Siddharth Nagar,0.25,976,59.25,#N/A
Mathura,0.23,863,70.36,2547184
Firozabad,0.22,875,71.92,2498156
Mirzapur,0.18,903,68.48,2496970
Faizabad,0.18,962,68.73,2470996
Basti,0.18,963,67.22,2464464
Ambedkar Nagar,0.18,978,72.23,2397888
Rampur,0.21,909,53.34,2335819
Mau,0.19,979,73.09,2205968
Balrampur,0.28,928,49.51,2148665
Pilibhit,0.23,895,61.47,2031007
Jhansi,0.15,890,75.05,1998603
Chandauli,0.19,918,71.48,1952756
Farrukhabad,0.2,874,69.04,1885204
Mainpuri,0.17,881,75.99,1868529
Sonbhadra,0.27,918,64.03,1862559
Jyotiba Phule Nagar,0.23,910,63.84,1840221
Banda,0.17,863,66.67,1799410
Ramabai Nagar,0.15,865,75.78,#N/A
Etah,0.14,873,70.81,1774480
Sant Kabir Nagar,0.21,972,66.72,1715183
Jalaun,0.16,865,73.75,1689974
Kannauj,0.19,879,72.7,1656616
Gautam Buddha Nagar,0.37,851,80.12,1648115
Kaushambi,0.24,908,61.28,1599596
Etawah,0.18,870,78.41,1581810
Sant Ravidas Nagar,0.17,955,68.97,1578213
Mahamaya Nagar,0.17,871,71.59,1564708
Kanshiram Nagar,0.17,880,61.02,1436719
Auraiya,0.17,864,78.95,1379545
Baghpat,0.12,861,72.01,1303048
Lalitpur,0.25,906,63.52,1221592
Shrawasti,-0.05,881,46.74,1117361
Hamirpur,0.06,861,68.77,454768
Chitrakoot,0.29,879,65.05,991730
Mahoba,0.24,878,65.27,875958
Haridwar,0.31,880,73.43,#N/A
Dehradun,0.32,902,84.25,1696694
Udham Singh Nagar,0.33,920,73.1,1648902
Nainital,0.25,934,83.88,954605
Pauri Garhwal,-0.01,1103,82.02,#N/A
Almora,-0.01,1139,80.47,622506
Tehri Garhwal,0.02,1077,76.36,618931
Pithoragarh,0.05,1020,82.25,483439
Chamoli,0.06,1019,82.65,391605
Uttarkashi,0.12,958,75.81,330086
Bageshwar,0.04,1090,80.01,259898
Champawat,0.16,980,79.83,259648
Rudraprayag,0.07,1114,81.3,242285
North Twenty Four Parganas,0.12,955,84.06,10009781
South Twenty Four Parganas,0.18,956,77.51,8161961
Barddhaman,0.12,945,76.21,7717563
Murshidabad,0.21,958,66.59,7103807
Paschim Medinipur,0.14,966,78,5913457
Hugli,0.09,961,81.8,5519145
Nadia,0.12,947,74.97,5167600
Purba Medinipur,0.15,938,87.02,5095875
Haora,0.14,939,83.31,4850029
Kolkata,-0.02,908,86.31,4496694
Maldah,0.21,944,61.73,3988845
Jalpaiguri,0.14,953,73.25,3872846
Bankura,0.13,957,70.26,3596674
Birbhum,0.16,956,70.68,3502404
Uttar Dinajpur,0.23,939,59.07,3007134
Puruliya,0.16,957,64.48,2930115
Koch Bihar,0.14,942,74.78,2819086
Darjiling,0.15,970,79.56,1846823
Dakshin Dinajpur,0.12,956,72.82,1676276
